你是否同意依下列原則制定「政黨不當取得財產處理條例」，將中國國民黨黨產還給全民：國民黨及其附隨組織的財產，除黨費、政治獻金及競選補助金外，均推定為不當取得的財產，應還給人民。已處分者，應償還價額。,2008年1月12日,1,2,,,
,,同意,不同意*,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,30,9,39,5,1481
金城鎮,東門里,38,3,41,4,1584
金城鎮,南門里,28,3,31,2,1426
金城鎮,南門里,35,2,37,4,1960
金城鎮,西門里,30,4,34,5,1590
金城鎮,西門里,24,12,36,4,1802
金城鎮,西門里,18,7,25,1,1325
金城鎮,西門里,29,6,35,1,1225
金城鎮,北門里,21,6,27,2,1173
金城鎮,北門里,24,4,28,3,1531
金城鎮,賢庵里,46,4,50,5,2215
金城鎮,金水里,10,0,10,1,1137
金城鎮,古城里,19,7,26,3,1942
金城鎮,珠沙里,30,5,35,7,1493
金寧鄉,古寧村,16,0,16,3,1689
金寧鄉,安美村,17,4,21,4,1298
金寧鄉,安美村,9,4,13,2,939
金寧鄉,湖埔村,13,4,17,0,1148
金寧鄉,湖埔村,16,4,20,1,1402
金寧鄉,榜林村,19,3,22,4,1478
金寧鄉,榜林村,5,0,5,0,953
金寧鄉,盤山村,46,8,54,3,2150
金寧鄉,后盤村,10,0,10,0,774
金湖鎮,新市里,30,0,30,0,1564
金湖鎮,新市里,29,3,32,1,1423
金湖鎮,山外里,18,3,21,1,1003
金湖鎮,山外里,22,2,24,2,1159
金湖鎮,溪湖里,14,2,16,1,887
金湖鎮,蓮庵里,5,0,5,0,903
金湖鎮,料羅里,7,1,8,0,1035
金湖鎮,新湖里,26,2,28,0,1670
金湖鎮,新湖里,21,2,23,0,1714
金湖鎮,正義里,17,2,19,1,1367
金湖鎮,瓊林里,3,0,3,1,980
金湖鎮,瓊林里,7,1,8,2,805
金沙鎮,汶沙里,26,4,30,2,1319
金沙鎮,汶沙里,14,2,16,2,1722
金沙鎮,何斗里,9,1,10,1,1176
金沙鎮,浦山里,7,2,9,1,1227
金沙鎮,西園里,4,1,5,0,871
金沙鎮,官嶼里,7,4,11,0,1174
金沙鎮,三山里,10,0,10,1,1070
金沙鎮,大洋里,4,1,5,2,627
金沙鎮,光前里,17,4,21,2,1286
烈嶼鄉,林湖村,11,2,13,1,1816
烈嶼鄉,黃埔村,2,0,2,1,750
烈嶼鄉,西口村,3,0,3,0,1164
烈嶼鄉,上林村,1,0,1,0,716
烈嶼鄉,上岐村,1,1,2,0,1468
烏坵鄉,大坵村,2,0,2,0,160
烏坵鄉,小坵村,2,0,2,0,176
