,2026年11月28日,1,2,3,4,5,6,7,8,9,10,,,
7,,候選人A,候選人B,候選人C,候選人D,候選人E,候選人F,候選人G,候選人H,候選人I,候選人J,,,
,,無,無,無,無,無,無,無,無,無,無,有效票,無效票,選舉人數
金湖鎮,新市里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新市里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新市里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,山外里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,山外里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,溪湖里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,蓮庵里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,料羅里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,料羅里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,正義里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,正義里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,瓊林里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,瓊林里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,汶沙里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,汶沙里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,汶沙里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,汶沙里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,何斗里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,何斗里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,浦山里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,浦山里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,西園里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,官嶼里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,官嶼里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,三山里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,三山里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,大洋里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,光前里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,光前里,0,0,0,0,0,0,0,0,0,0,0,0,0
