,2022年11月26日,1,2,3,4,5,6,7,8,9,10,,,
8,,蔡連進*,蔡寶愛#*,張成爵#*,周水土#*,黃聰成#*,何開忠#*,周欣怡,黃奕焮#*,黃秀花,呂寶玉#*,,,
,,中國國民黨,中國國民黨,無,無,無,無,無,中國國民黨,無,中國國民黨,有效票,無效票,選舉人數
金沙鎮,汶沙里,9,35,73,9,28,9,12,50,6,46,277,14,862
金沙鎮,汶沙里,26,40,116,8,4,12,13,55,19,45,338,26,974
金沙鎮,汶沙里,68,57,55,20,78,89,18,138,54,54,631,25,1495
金沙鎮,汶沙里,32,86,123,31,37,37,28,103,27,90,594,26,1607
金沙鎮,何斗里,41,22,16,61,126,25,19,51,19,24,404,14,957
金沙鎮,何斗里,51,64,24,89,36,34,9,41,16,33,397,29,1057
金沙鎮,浦山里,22,29,15,365,15,32,12,19,14,10,533,14,1202
金沙鎮,浦山里,97,34,9,72,34,90,8,24,7,12,387,15,1086
金沙鎮,西園里,40,51,28,35,141,23,29,101,34,51,533,36,1570
金沙鎮,官嶼里,65,45,15,32,22,21,24,114,46,26,410,22,1224
金沙鎮,官嶼里,16,78,15,39,30,1,10,43,72,9,313,7,949
金沙鎮,三山里,53,48,60,17,7,23,6,40,26,21,301,12,998
金沙鎮,三山里,52,36,17,21,31,16,18,38,39,75,343,19,893
金沙鎮,大洋里,43,12,40,46,38,79,26,46,52,119,501,34,1149
金沙鎮,光前里,65,113,38,26,41,23,22,69,28,46,471,33,1252
金沙鎮,光前里,63,60,17,25,40,30,15,109,25,61,445,23,1078
