,2022年11月26日,1,2,,,
,,陳成泉,楊忠俊#*,,,
,,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金寧鄉,古寧村,309,218,527,26,1761
金寧鄉,古寧村,300,184,484,21,1544
金寧鄉,安美村,191,230,421,29,1185
金寧鄉,安美村,173,194,367,17,1004
金寧鄉,安美村,194,193,387,14,971
金寧鄉,安美村,184,245,429,16,1052
金寧鄉,安美村,153,207,360,16,886
金寧鄉,湖埔村,132,392,524,16,1463
金寧鄉,湖埔村,81,352,433,14,1114
金寧鄉,湖埔村,333,193,526,21,1242
金寧鄉,湖埔村,127,159,286,27,980
金寧鄉,湖埔村,223,261,484,15,1180
金寧鄉,湖埔村,327,252,579,24,1349
金寧鄉,榜林村,196,209,405,14,971
金寧鄉,榜林村,104,232,336,11,942
金寧鄉,榜林村,232,322,554,42,1753
金寧鄉,榜林村,258,316,574,25,1528
金寧鄉,盤山村,286,297,583,33,1572
金寧鄉,盤山村,181,209,390,12,1001
金寧鄉,盤山村,184,305,489,18,1383
金寧鄉,盤山村,228,208,436,21,1225
金寧鄉,盤山村,148,238,386,40,1076
金寧鄉,后盤村,335,266,601,35,1649
